Rank,ID,School Name,City,State,Enrollment
1,236948,University of Washington-Seattle Campus,Seattle,WA,31942
2,236939,Washington State University,Pullman,WA,21099
3,237011,Western Washington University,Bellingham,WA,13544
4,234827,Central Washington University,Ellensburg,WA,7833
5,234669,Bellevue College,Bellevue,WA,7364
6,235097,Eastern Washington University,Cheney,WA,6222
7,377555,University of Washington-Bothell Campus,Bothell,WA,5457
8,235237,Pierce College District,Lakewood,WA,5313
9,235316,Gonzaga University,Spokane,WA,5198
10,235343,Green River College,Auburn,WA,4965
11,234933,Clark College,Vancouver,WA,4945
12,235149,Everett Community College,Everett,WA,4709
13,236753,Tacoma Community College,Tacoma,WA,4668
14,234979,Columbia Basin College,Pasco,WA,4640
15,236692,Spokane Community College,Spokane,WA,4533
16,377564,University of Washington-Tacoma Campus,Tacoma,WA,4185
17,236595,Seattle University,Seattle,WA,4062
18,236513,Seattle Central College,Seattle,WA,3953
19,235431,Highline College,Des Moines,WA,3838
20,236188,Olympic College,Bremerton,WA,3826
21,235103,Edmonds College,Lynnwood,WA,3656
22,236708,Spokane Falls Community College,Spokane,WA,3199
23,236656,South Puget Sound Community College,Olympia,WA,3075
24,236072,North Seattle College,Seattle,WA,3074
25,236610,Shoreline Community College,Shoreline,WA,3046
26,237109,Yakima Valley College,Yakima,WA,2770
27,234951,Clover Park Technical College,Lakewood,WA,2636
28,236638,Skagit Valley College,Mount Vernon,WA,2477
29,236887,Walla Walla Community College,Walla Walla,WA,2418
30,235699,Lake Washington Institute of Technology,Kirkland,WA,2406
31,236230,Pacific Lutheran University,Tacoma,WA,2401
32,237039,Whatcom Community College,Bellingham,WA,2378
33,235167,The Evergreen State College,Olympia,WA,2160
34,235750,Lower Columbia College,Longview,WA,1932
35,237066,Whitworth University,Spokane,WA,1858
36,235671,Bates Technical College,Tacoma,WA,1813
37,236382,Renton Technical College,Renton,WA,1783
38,236577,Seattle Pacific University,Seattle,WA,1762
39,236975,Wenatchee Valley College,Wenatchee,WA,1759
40,234696,Bellingham Technical College,Bellingham,WA,1733
41,236504,South Seattle College,Seattle,WA,1616
42,236328,University of Puget Sound,Tacoma,WA,1594
43,234845,Centralia College,Centralia,WA,1552
44,237057,Whitman College,Walla Walla,WA,1531
45,234711,Big Bend Community College,Moses Lake,WA,1272
46,236258,Peninsula College,Port Angeles,WA,1263
47,236896,Walla Walla University,College Place,WA,1252
48,446260,Evergreen Beauty and Barber College-Everett,Everett,WA,1172
49,236452,Saint Martin's University,Lacey,WA,1158
50,234915,City University of Seattle,Seattle,WA,1137
