"Label (Grouping)","Census Tract 63; King County; Washington!!Estimate","Census Tract 63; King County; Washington!!Margin of Error"
"Total:","2,710","±366"
"    Less than $10,000","100","±102"
"    $10,000 to $14,999","0","±19"
"    $15,000 to $19,999","0","±19"
"    $20,000 to $24,999","13","±21"
"    $25,000 to $29,999","0","±19"
"    $30,000 to $34,999","0","±19"
"    $35,000 to $39,999","0","±19"
"    $40,000 to $44,999","54","±86"
"    $45,000 to $49,999","18","±29"
"    $50,000 to $59,999","122","±87"
"    $60,000 to $74,999","78","±52"
"    $75,000 to $99,999","177","±73"
"    $100,000 to $124,999","234","±113"
"    $125,000 to $149,999","174","±81"
"    $150,000 to $199,999","324","±136"
"    $200,000 or more","1,416","±368"
