"Label (Grouping)","Census Tract 63; King County; Washington!!Estimate","Census Tract 63; King County; Washington!!Margin of Error"
"Total:","6,006","±829"
"    In households:","5,893","±829"
"        Householder:","2,710","±366"
"            Male:","1,297","±211"
"                Living alone","307","±151"
"                Not living alone","990","±182"
"            Female:","1,413","±384"
"                Living alone","436","±144"
"                Not living alone","977","±383"
"        Opposite-sex spouse","1,223","±173"
"        Same-sex spouse","97","±75"
"        Opposite-sex unmarried partner","92","±74"
"        Same-sex unmarried partner","102","±75"
"        Child:","1,577","±487"
"            Biological child","1,438","±502"
"            Adopted child","78","±108"
"            Stepchild","61","±84"
"        Grandchild","0","±19"
"        Brother or sister","0","±19"
"        Parent","19","±30"
"        Parent-in-law","0","±19"
"        Son-in-law or daughter-in-law","0","±19"
"        Other relatives","0","±19"
"        Foster child","0","±19"
"        Other nonrelatives","73","±76"
"    In group quarters","113","±4"
