"Label (Grouping)","Census Tract 63; King County; Washington!!Total!!Estimate","Census Tract 63; King County; Washington!!Total!!Margin of Error","Census Tract 63; King County; Washington!!Married-couple family household!!Estimate","Census Tract 63; King County; Washington!!Married-couple family household!!Margin of Error","Census Tract 63; King County; Washington!!Male householder, no spouse present, family household!!Estimate","Census Tract 63; King County; Washington!!Male householder, no spouse present, family household!!Margin of Error","Census Tract 63; King County; Washington!!Female householder, no spouse present, family household!!Estimate","Census Tract 63; King County; Washington!!Female householder, no spouse present, family household!!Margin of Error","Census Tract 63; King County; Washington!!Nonfamily household!!Estimate","Census Tract 63; King County; Washington!!Nonfamily household!!Margin of Error"
"HOUSEHOLDS","","","","","","","","","",""
"    Total households","2,710","±366","1,306","±177","38","±43","397","±333","969","±194"
"    Average household size","2.17","±0.14","2.78","±0.24","2.53","±0.67","2.38","±0.39","1.26","±0.10"
"FAMILIES","","","","","","","","","",""
"    Total families","1,741","±358","1,306","±177","38","±43","397","±333","(X)","(X)"
"    Average family size","2.67","±0.22","2.78","±0.24","2.03","±0.11","2.38","±0.39","(X)","(X)"
"AGE OF OWN CHILDREN","","","","","","","","","",""
"    Households with own children of the householder under 18 years","803","±338","405","±126","19","±32","379","±331","(X)","(X)"
"        Under 6 years only","3.9%","±4.7","7.7%","±8.6","0.0%","±75.5","0.0%","±10.0","(X)","(X)"
"        Under 6 years and 6 to 17 years","10.3%","±12.9","7.2%","±8.1","0.0%","±75.5","14.2%","±26.0","(X)","(X)"
"        6 to 17 years only","85.8%","±14.0","85.2%","±12.1","100.0%","±75.5","85.8%","±26.0","(X)","(X)"
"Total households","2,710","±366","1,306","±177","38","±43","397","±333","969","±194"
"    SELECTED HOUSEHOLDS BY TYPE","","","","","","","","","",""
"        Households with one or more people under 18 years","29.6%","±9.5","31.0%","±8.8","50.0%","±50.0","95.5%","±9.3","0.0%","±4.0"
"        Households with one or more people 60 years and over","35.5%","±6.7","47.5%","±9.0","50.0%","±50.0","4.5%","±9.3","31.4%","±12.4"
"        Households with one or more people 65 years and over","26.3%","±5.5","(X)","(X)","(X)","(X)","(X)","(X)","24.6%","±10.9"
"        Householder living alone","27.4%","±6.9","(X)","(X)","(X)","(X)","(X)","(X)","76.7%","±9.1"
"            65 years and over","7.4%","±3.5","(X)","(X)","(X)","(X)","(X)","(X)","20.7%","±9.7"
"    UNITS IN STRUCTURE","","","","","","","","","",""
"        1-unit structures","56.3%","±8.1","77.2%","±8.7","50.0%","±50.0","87.7%","±21.0","15.7%","±8.7"
"        2-or-more-unit structures","43.0%","±7.9","21.4%","±8.6","50.0%","±50.0","12.3%","±21.0","84.3%","±8.7"
"        Mobile homes and all other types of units","0.7%","±1.1","1.5%","±2.3","0.0%","±53.4","0.0%","±9.6","0.0%","±4.0"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","56.1%","±7.7","72.4%","±9.1","100.0%","±53.4","74.1%","±35.0","25.0%","±10.5"
"        Renter-occupied housing units","43.9%","±7.7","27.6%","±9.1","0.0%","±53.4","25.9%","±35.0","75.0%","±10.5"
