"Label (Grouping)","Census Tract 63; King County; Washington!!Estimate","Census Tract 63; King County; Washington!!Margin of Error"
"Total:","6,006","±829"
"    Male:","2,878","±459"
"        Under 5 years","30","±27"
"        5 to 9 years","215","±120"
"        10 to 14 years","130","±61"
"        15 to 17 years","390","±344"
"        18 and 19 years","0","±19"
"        20 years","0","±19"
"        21 years","0","±19"
"        22 to 24 years","84","±93"
"        25 to 29 years","208","±134"
"        30 to 34 years","221","±88"
"        35 to 39 years","317","±178"
"        40 to 44 years","141","±96"
"        45 to 49 years","213","±90"
"        50 to 54 years","147","±89"
"        55 to 59 years","72","±67"
"        60 and 61 years","103","±89"
"        62 to 64 years","52","±51"
"        65 and 66 years","86","±79"
"        67 to 69 years","75","±58"
"        70 to 74 years","156","±83"
"        75 to 79 years","78","±54"
"        80 to 84 years","38","±42"
"        85 years and over","122","±78"
"    Female:","3,128","±454"
"        Under 5 years","124","±129"
"        5 to 9 years","183","±84"
"        10 to 14 years","136","±98"
"        15 to 17 years","59","±52"
"        18 and 19 years","0","±19"
"        20 years","0","±19"
"        21 years","0","±19"
"        22 to 24 years","175","±122"
"        25 to 29 years","31","±37"
"        30 to 34 years","221","±113"
"        35 to 39 years","213","±100"
"        40 to 44 years","246","±130"
"        45 to 49 years","92","±65"
"        50 to 54 years","508","±356"
"        55 to 59 years","262","±126"
"        60 and 61 years","100","±72"
"        62 to 64 years","97","±62"
"        65 and 66 years","73","±54"
"        67 to 69 years","60","±47"
"        70 to 74 years","205","±93"
"        75 to 79 years","170","±90"
"        80 to 84 years","111","±67"
"        85 years and over","62","±53"
